,age,dsl,dt,fwf
5.71,5.7,-0.028989250778257647,630719999.9999866,16638.300326181965
5.74,5.725,-0.03204459985548658,946080000.000008,12261.272987153352
5.75,5.745,-0.039852066759922256,315359999.9999933,45745.96704430544
5.76,5.755,-0.028808252232711773,315359999.9999933,33068.83342288776
5.77,5.765,-0.04224879439837581,315359999.9999933,48497.15744613257
5.78,5.775,-0.04307762822344685,315360000.0000213,49448.57121032062
5.79,5.785,-0.0485542761363571,315359999.9999933,55735.18506266375
5.81,5.8,-0.08706811562013739,630719999.9999866,49972.50420866692
5.82,5.8149999999999995,-0.046648442174510585,315360000.0000213,53547.48879747492
5.85,5.835,-0.058680205636476135,946079999.9999799,22452.894512519884
5.86,5.855,-0.010934127414211403,315360000.0000213,12551.224390995247
5.89,5.875,-0.055796933428862605,946079999.9999799,21349.663771825526
5.9,5.895,-0.03468809313830912,315360000.0000213,39818.27028179558
5.92,5.91,-0.0519658455119667,630719999.9999866,29825.653341153517
5.94,5.93,-0.059023870295381364,630720000.0000145,33876.58714949195
5.95,5.945,-0.029104981350527748,315359999.9999933,33409.447136261
5.96,5.955,-0.021053596891380977,315359999.9999933,24167.307441273704
5.97,5.965,-0.019173346195397123,315359999.9999933,22008.978065493102
5.99,5.98,-0.0484724129733749,630720000.0000145,27820.607395296345
6.02,6.005,-0.11841110984122194,946079999.9999799,45307.81938369192
6.03,6.025,-0.04500532104757049,315360000.0000213,51661.359142628804
6.05,6.04,-0.06882087736069131,630719999.9999866,39499.55226498412
6.06,6.055,-0.015163481612870289,315359999.9999933,17406.076686514334
6.07,6.0649999999999995,-0.019376131831946974,315360000.0000213,22241.75457624408
6.08,6.075,-0.04303010724859213,315359999.9999933,49394.02214608918
6.09,6.085,-0.031047807083603995,315359999.9999933,35639.60605106825
6.1,6.095,-0.03508359887032686,315359999.9999933,40272.269124361344
6.11,6.105,-0.03406099081179681,315360000.0000213,39098.42298918573
6.12,6.115,-0.0443095319292075,315359999.9999933,50862.66666150893
6.13,6.125,-0.02039174373580943,315359999.9999933,23407.569864165303
6.14,6.135,-0.010476816551377333,315359999.9999933,12026.279780564037
6.15,6.145,0.012220160475445052,315360000.0000213,-14027.454629981006
6.16,6.155,-0.010991796056747383,315359999.9999933,12617.421906844993
6.17,6.165,0.010054435457123034,315359999.9999933,-11541.430858316258
6.18,6.175,-0.007559749468437182,315359999.9999933,8677.794607985534
6.2,6.1899999999999995,-0.025161256608694504,630720000.0000145,14441.233657323693
6.22,6.21,0.005546449375456675,630719999.9999866,-3183.369282590307
6.23,6.225,0.027409644658075827,315360000.0000213,-31463.379522522766
6.24,6.235,0.027999236335683797,315359999.9999933,-32140.168548699105
6.27,6.255,0.05541224408150791,946079999.9999799,-21202.46951368414
6.28,6.275,0.003532505989657597,315360000.0000213,-4054.944090106431
6.3,6.29,-0.007877221348317143,630719999.9999866,4521.109411610328
6.31,6.305,-0.009242179419469032,315359999.9999933,10609.046644621576
6.32,6.3149999999999995,-0.010669670510408569,315360000.0000213,12247.655773616314
6.33,6.325,-0.011440344798198776,315359999.9999933,13132.308526598315
6.34,6.335,0.009603480957167676,315359999.9999933,-11023.782681680532
6.35,6.345,-0.05551798701176125,315359999.9999933,63728.79026591197
6.36,6.355,-0.03943652921394003,315360000.0000213,45268.97379326905
